"station","arrondissement","mm","jj","n_tot","n_AM","n_PM","n_rush","temp","precip_ind"
"Dollard / Bernard","Outremont",8,3,14,3,0,3,14.2,1
"Ontario / Sicard","Mercier - Hochelaga-Maisonneuve",6,4,64,15,11,26,27.2,0
"Brittany / Ainsley","Mont-Royal",7,1,8,0,2,2,20.9,0
"Wilderton  / Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",8,3,95,9,31,40,18.1,0
"Hodge / Laperrière","Saint-Laurent",10,1,2,0,0,0,5.9,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",6,3,88,8,32,40,24.7,0
"Robert-Bourassa / René-Lévesque","Ville-Marie",9,5,84,4,36,40,20.4,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",9,4,319,41,75,116,20.7,0
"Brittany / Ainsley","Mont-Royal",6,6,21,1,5,6,18.5,0
"Melville / de Maisonneuve","Westmount",10,6,60,5,25,30,9.9,0
"Gilford / Papineau","Le Plateau-Mont-Royal",6,3,90,22,33,55,16.7,0
"Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain)","Rosemont - La Petite-Patrie",5,2,40,4,17,21,14.5,0
"Boyer / Beaubien","Rosemont - La Petite-Patrie",6,7,225,11,29,40,15.8,0
"Parc Aimé-Léonard (Gouin / Ste-Gertrude)","Montréal-Nord",9,4,6,2,1,3,20.7,0
"des Érables / Dandurand","Rosemont - La Petite-Patrie",9,1,45,11,12,23,15.7,0
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",10,6,56,5,14,19,13.9,0
"Brittany / Ainsley","Mont-Royal",5,6,31,0,12,12,12.8,0
"La Tour de Montréal (Pierre-de-Coubertin / Bennett)","Mercier - Hochelaga-Maisonneuve",9,6,13,1,5,6,16.4,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",5,7,131,6,33,39,18.3,0
"Souligny / Desmarteau","Mercier - Hochelaga-Maisonneuve",10,1,8,3,2,5,17.3,0
"Hutchison / Van Horne","Le Plateau-Mont-Royal",8,7,68,2,14,16,21.5,0
"Parc de la Confédération (Fielding / West Hill)","Côte-des-Neiges - Notre-Dame-de-Grâce",9,5,43,10,13,23,20.4,0
"de Chambly / de Rouen","Mercier - Hochelaga-Maisonneuve",7,4,35,7,9,16,25.4,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",5,5,19,2,7,9,17.4,0
"de St-Vallier / St-Zotique","Rosemont - La Petite-Patrie",7,1,79,13,24,37,20.4,0
"Parc du Pélican (2e avenue / St-Joseph)","Rosemont - La Petite-Patrie",9,7,47,4,7,11,10.5,0
"La Tour de Montréal (Pierre-de-Coubertin / Bennett)","Mercier - Hochelaga-Maisonneuve",5,4,3,0,3,3,14.5,0
"Émile-Journault / de Châteaubriand","Ahuntsic-Cartierville",7,6,23,0,6,6,23.1,0
"Mackay / René-Lévesque","Ville-Marie",7,6,89,0,24,24,25,0
"Gilford / Papineau","Le Plateau-Mont-Royal",7,7,98,6,33,39,23.5,0
"St-Hubert / Duluth","Le Plateau-Mont-Royal",9,7,126,11,22,33,19,0
"Jean-Paul-Vincent / Adoncour","Longueuil",10,4,9,5,3,8,14.8,0
"de Chambly / de Rouen","Mercier - Hochelaga-Maisonneuve",5,2,7,4,0,4,14.5,0
"Melville / de Maisonneuve","Westmount",8,5,19,3,2,5,20.1,1
"Querbes / Laurier","Outremont",5,4,105,28,25,53,14.5,0
"Terminus Newman (Airlie / Lafleur)","LaSalle",9,1,3,0,2,2,22.4,0
"Mayfield / St-Martin O","Laval",6,4,1,0,0,0,21.5,1
"Parc Courbertin (Valéry / Perrier)","Saint-Léonard",8,4,18,1,7,8,16.8,0
"Tupper / du Fort","Ville-Marie",8,7,69,13,15,28,23.5,0
"de Côme / Jean-Talon","Saint-Léonard",10,6,7,0,1,1,7.2,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",10,2,213,38,73,111,17,0
"Hodge / Laperrière","Saint-Laurent",6,5,6,0,1,1,21.5,0
"Waverly / St-Viateur","Le Plateau-Mont-Royal",10,6,137,11,23,34,7.2,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",7,3,72,18,12,30,22.9,1
"La Tour de Montréal (Pierre-de-Coubertin / Bennett)","Mercier - Hochelaga-Maisonneuve",5,2,1,1,0,1,17.7,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,4,19,1,11,12,16.8,0
"Tupper / du Fort","Ville-Marie",7,2,80,13,25,38,22.6,0
"Mayfield / St-Martin O","Laval",6,2,6,1,1,2,22.4,0
"de la Sorbonne / du Rousillon","Laval",9,6,2,0,0,0,19.5,0
"Aylmer / Prince-Arthur","Le Plateau-Mont-Royal",6,4,148,34,35,69,15,0
"Émile-Journault / de Châteaubriand","Ahuntsic-Cartierville",6,5,38,5,3,8,21.5,0
"Boyer / Beaubien","Rosemont - La Petite-Patrie",9,4,181,10,70,80,18.4,0
"de l'Esplanade / du Mont-Royal","Le Plateau-Mont-Royal",10,1,40,5,5,10,5.9,0
"Louis-Hébert / Bélanger","Villeray—Saint-Michel—Parc-Extension",5,6,19,3,3,6,12.8,0
"Métro Préfontaine (Préfontaine / Hochelaga)","Mercier - Hochelaga-Maisonneuve",9,6,56,6,4,10,15.9,1
"Bélanger / des Galeries d'Anjou","Anjou",6,6,18,1,5,6,19.8,0
"Atwater / Sherbrooke","Ville-Marie",6,2,48,6,14,20,26.7,0
"Irwin / Allard","LaSalle",7,2,36,6,13,19,25.9,0
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",5,7,3,0,0,0,12.1,1
"Mackay / Ste-Catherine","Ville-Marie",5,3,87,12,27,39,10.2,0
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",9,6,93,8,20,28,16.4,0
"Irwin / Allard","LaSalle",5,6,31,1,9,10,20.5,0
"Dollard / Bernard","Outremont",7,2,52,13,4,17,25.9,0
"Léa-Roback / Sir-Georges-Etienne-Cartier","Le Sud-Ouest",8,6,71,5,1,6,20,0
"Saint-Rémi / Valois","Laval",6,2,4,0,1,1,26.7,0
"de Chenonceau / Chomedey","Laval",5,2,2,0,1,1,14.5,0
"Léa-Roback / Sir-Georges-Etienne-Cartier","Le Sud-Ouest",5,5,185,11,38,49,14.4,0
"des Érables / Dandurand","Rosemont - La Petite-Patrie",6,3,49,13,9,22,22.3,1
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",7,2,30,1,15,16,25.9,0
"St-Dominique / du Mont-Royal","Le Plateau-Mont-Royal",5,3,30,0,0,0,14.5,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",9,7,52,4,10,14,18.1,0
"Clark / de Liège","Villeray—Saint-Michel—Parc-Extension",6,3,65,6,23,29,22.3,1
"Place du Village (St-Jean-Baptiste / Notre-Dame)","Rivière-des-Prairies - Pointe-aux-Trembles",7,2,8,1,3,4,24.8,0
"de Bellechasse / de Lanaudière","Rosemont - La Petite-Patrie",8,6,51,2,6,8,20,0
"de St-Vallier / St-Zotique","Rosemont - La Petite-Patrie",10,2,70,18,15,33,7.3,0
"Atwater / Sherbrooke","Ville-Marie",8,1,50,13,6,19,18.8,0
"Boyer / Jean-Talon","Rosemont - La Petite-Patrie",7,6,109,3,24,27,22.2,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",9,4,86,11,27,38,21.6,0
"St-Dominique / du Mont-Royal","Le Plateau-Mont-Royal",5,2,88,11,36,47,17.3,0
"de Bellechasse / de Lanaudière","Rosemont - La Petite-Patrie",9,5,81,6,20,26,20.4,0
"Parc Chenier (de l'Aréna / Chenier)","Anjou",5,4,5,1,0,1,14.5,0
"Parc de la Louisiane (31e avenue / de Bellechasse)","Rosemont - La Petite-Patrie",10,5,19,2,5,7,17.1,0
"Atwater / Sherbrooke","Ville-Marie",5,4,56,8,30,38,21.7,0
"Waverly / St-Viateur","Le Plateau-Mont-Royal",8,6,151,8,18,26,20,0
"Le Corbusier / St-Martin O","Laval",8,6,2,0,1,1,27.4,0
"Graham / Brookfield","Mont-Royal",10,7,19,2,3,5,14,0
"Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain)","Rosemont - La Petite-Patrie",5,1,28,1,10,11,22.1,0
"Fullum / de Rouen","Ville-Marie",9,2,116,35,37,72,23.1,0
"Cartier / Dandurand","Rosemont - La Petite-Patrie",7,7,72,8,11,19,25,0
"St-Jacques / St-Laurent","Ville-Marie",7,4,69,2,24,26,25.4,0
"Waverly / St-Viateur","Le Plateau-Mont-Royal",9,7,177,9,44,53,18.1,0
"Hutchison / Van Horne","Le Plateau-Mont-Royal",8,1,78,15,23,38,18.8,0
"Souligny / Desmarteau","Mercier - Hochelaga-Maisonneuve",7,1,22,1,4,5,20.9,0
"Earnscliffe / Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",9,4,27,3,10,13,20.1,0
"Mayfield / St-Martin O","Laval",8,4,4,1,2,3,16.8,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",10,6,14,1,5,6,12.5,0
"Métro Jean-Talon (Berri / Jean-Talon)","Villeray—Saint-Michel—Parc-Extension",10,2,75,4,30,34,7.3,0
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",8,2,107,22,42,64,18.6,0
"Michelet / Jean-Talon","Saint-Léonard",5,7,15,1,6,7,18.3,0
"Graham / Brookfield","Mont-Royal",5,3,30,5,14,19,23.8,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",10,7,54,1,9,10,14,0
"de Grenoble / de Cassis","Laval",8,6,1,1,0,1,20,0
"Bélanger / des Galeries d'Anjou","Anjou",10,5,12,1,6,7,5.7,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",7,6,271,12,60,72,23.1,0
"Métro Snowdon (Circle / Queen-Mary)","Côte-des-Neiges - Notre-Dame-de-Grâce",9,1,59,5,13,18,13.7,0
"Union / Ste-Catherine","Ville-Marie",10,3,52,0,24,24,15.7,0
"Ontario / Sicard","Mercier - Hochelaga-Maisonneuve",6,1,57,16,19,35,23.4,0
"La Tour de Montréal (Pierre-de-Coubertin / Bennett)","Mercier - Hochelaga-Maisonneuve",8,5,26,1,8,9,27.4,0
"St-Hubert / Duluth","Le Plateau-Mont-Royal",5,1,78,20,6,26,21.8,1
"de Bullion / St-Joseph","Le Plateau-Mont-Royal",9,2,47,7,10,17,23.1,0
"Melville / de Maisonneuve","Westmount",9,7,84,10,7,17,19,0
"St-Dominique / Bernard","Le Plateau-Mont-Royal",10,4,51,4,27,31,14.8,0
"Parc de la Confédération (Fielding / West Hill)","Côte-des-Neiges - Notre-Dame-de-Grâce",10,6,12,1,1,2,7.2,0
"Michelet / Jean-Talon","Saint-Léonard",7,4,25,3,9,12,20.1,0
"Querbes / Laurier","Outremont",10,5,87,8,28,36,17.1,0
"Mackay / René-Lévesque","Ville-Marie",9,1,83,22,23,45,15.3,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",8,4,180,24,65,89,23.6,0
"Atwater / Sherbrooke","Ville-Marie",9,4,57,9,11,20,21.6,0
"de Côme / Jean-Talon","Saint-Léonard",9,1,10,1,1,2,15.3,0
"Aylmer / Prince-Arthur","Le Plateau-Mont-Royal",6,5,178,33,27,60,15.7,0
"Saint-Rémi / Valois","Laval",5,4,3,0,0,0,14.5,0
"Aylmer / Ste-Catherine","Ville-Marie",5,7,23,0,8,8,12.1,1
"Jean-Paul-Vincent / Adoncour","Longueuil",9,3,3,2,0,2,19.8,0
"Cartier / Dandurand","Rosemont - La Petite-Patrie",10,7,82,10,16,26,14,0
"Clark / de Liège","Villeray—Saint-Michel—Parc-Extension",5,5,49,8,12,20,17.4,0
"Métro Crémazie (Crémazie / Lajeunesse)","Ahuntsic-Cartierville",8,1,87,22,18,40,18.8,0
"Hutchison / Van Horne","Le Plateau-Mont-Royal",9,6,86,11,10,21,21.5,0
"St-Germain / Hochelaga","Mercier - Hochelaga-Maisonneuve",5,6,42,6,3,9,20.5,0
"Bélanger / des Galeries d'Anjou","Anjou",8,2,11,0,7,7,15.5,0
"Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain)","Rosemont - La Petite-Patrie",7,7,27,2,4,6,19.5,0
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",5,4,30,7,11,18,14.5,0
"Terminus Newman (Airlie / Lafleur)","LaSalle",8,6,1,0,1,1,22.4,0
"Bélanger / des Galeries d'Anjou","Anjou",9,5,16,2,3,5,20.4,0
"de Chenonceau / Chomedey","Laval",7,3,5,0,1,1,23.3,0
"St-Jacques / St-Laurent","Ville-Marie",6,5,80,5,17,22,15.7,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",9,3,28,3,14,17,21.7,0
"Melville / de Maisonneuve","Westmount",8,7,89,6,20,26,24.7,0
"Graham / Brookfield","Mont-Royal",9,1,43,10,15,25,22.4,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",8,3,34,7,7,14,14.2,1
"de Chenonceau / Chomedey","Laval",7,6,4,1,0,1,22.2,0
"Robert-Bourassa / René-Lévesque","Ville-Marie",7,1,79,2,41,43,24.3,0
"Métro Préfontaine (Préfontaine / Hochelaga)","Mercier - Hochelaga-Maisonneuve",6,3,76,12,24,36,22.3,1
"Hamel / Sauriol","Ahuntsic-Cartierville",5,4,25,6,9,15,21.7,0
"Parc de la Louisiane (31e avenue / de Bellechasse)","Rosemont - La Petite-Patrie",8,3,38,9,11,20,18.1,0
"de Hampton / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",10,2,27,9,6,15,7,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",6,5,79,18,18,36,18.9,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",5,3,252,21,84,105,16.7,0
"Collège de Rosemont (Beaubien / 15e avenue)","Rosemont - La Petite-Patrie",7,3,48,9,16,25,23.3,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",8,7,88,4,14,18,20.4,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",8,2,33,12,7,19,15.5,0
"Alexandre-DeSève / Ontario","Ville-Marie",10,3,147,36,21,57,15.7,0
"Boyer / Beaubien","Rosemont - La Petite-Patrie",5,2,186,44,53,97,21.8,0
"Mackay / René-Lévesque","Ville-Marie",10,3,83,18,29,47,16.4,0
"Gare du Ruisseau (Dutrisac / Henri-Bourassa)","Saint-Laurent",6,1,5,0,1,1,15.2,0
"St-Germain / Hochelaga","Mercier - Hochelaga-Maisonneuve",9,2,34,11,8,19,17.9,0
"Alexandre-DeSève / Ontario","Ville-Marie",6,3,155,34,31,65,28.7,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",10,2,139,19,55,74,7.3,0
"Boyer / Jean-Talon","Rosemont - La Petite-Patrie",5,4,72,20,20,40,11.1,0
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",6,7,53,3,9,12,16.3,0
"Parc du Bois-Franc (de l'Équateur / des Andes)","Saint-Laurent",7,6,16,0,2,2,22.7,0
"5e avenue / Rosemont","Rosemont - La Petite-Patrie",5,3,37,18,6,24,11.7,0
"Centre des loisirs (Tassé / Grenet)","Saint-Laurent",9,5,11,0,4,4,20.3,0
"des Érables / Dandurand","Rosemont - La Petite-Patrie",10,4,49,14,12,26,7.5,0
"Atwater / Sherbrooke","Ville-Marie",6,4,48,6,13,19,27.2,0
"Bibliothèque de Verdun (Brown / Bannantyne)","Verdun",10,2,16,6,2,8,7,0
"Parc de la Confédération (Fielding / West Hill)","Côte-des-Neiges - Notre-Dame-de-Grâce",9,2,40,10,7,17,15.7,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,5,20,1,5,6,19.2,0
"Desaulniers / Marquette","Longueuil",8,4,15,4,0,4,26.8,0
"Métro Crémazie (Crémazie / Lajeunesse)","Ahuntsic-Cartierville",10,5,99,26,28,54,10.3,0
"Place du Village (St-Jean-Baptiste / Notre-Dame)","Rivière-des-Prairies - Pointe-aux-Trembles",7,5,5,2,0,2,23.2,0
"de Chambly / de Rouen","Mercier - Hochelaga-Maisonneuve",6,7,21,2,5,7,22.2,0
"Aylmer / Ste-Catherine","Ville-Marie",8,3,77,7,29,36,18.1,0
"Melville / de Maisonneuve","Westmount",8,2,105,9,40,49,15.5,0
"de Chambly / de Rouen","Mercier - Hochelaga-Maisonneuve",7,7,21,3,1,4,23.8,0
"Brittany / Ainsley","Mont-Royal",9,6,20,0,0,0,15.9,1
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",10,7,19,2,4,6,13.1,0
"St-Patrick / Briand","Le Sud-Ouest",5,7,40,3,13,16,13.8,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",10,4,72,18,23,41,7.5,0
"Carrefour Angrignon (Angrignon / Newman)","LaSalle",10,7,23,0,9,9,13.1,0
"27e avenue / Rosemont","Rosemont - La Petite-Patrie",5,7,56,0,14,14,20.4,0
"Wilderton  / Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",10,3,52,12,7,19,16.9,0
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",9,5,28,5,8,13,20.4,0
"Parc du Pélican (2e avenue / St-Joseph)","Rosemont - La Petite-Patrie",10,1,47,20,10,30,12,0
"Jean-Paul-Vincent / Adoncour","Longueuil",8,1,1,0,0,0,21.8,0
"des Érables / Dandurand","Rosemont - La Petite-Patrie",9,2,64,23,19,42,23.1,0
"de Côme / Jean-Talon","Saint-Léonard",7,1,18,2,3,5,26.2,0
"Métro Snowdon (Circle / Queen-Mary)","Côte-des-Neiges - Notre-Dame-de-Grâce",5,5,59,4,11,15,14.4,0
"Souligny / Desmarteau","Mercier - Hochelaga-Maisonneuve",9,4,6,2,2,4,18.4,0
"Parc de la Louisiane (31e avenue / de Bellechasse)","Rosemont - La Petite-Patrie",7,2,27,8,4,12,25.9,0
"Querbes / Laurier","Outremont",6,6,57,10,8,18,19.5,0
"Travaux publics LaSalle (Cordner / Léger)","LaSalle",9,4,18,1,9,10,21.6,0
"Desaulniers / Marquette","Longueuil",7,1,11,0,3,3,20.9,0
"La Tour de Montréal (Pierre-de-Coubertin / Bennett)","Mercier - Hochelaga-Maisonneuve",8,2,5,0,2,2,15.5,0
"St-Dominique / du Mont-Royal","Le Plateau-Mont-Royal",8,1,85,21,20,41,17.4,1
"Union / Ste-Catherine","Ville-Marie",5,4,95,3,58,61,11,0
"Brittany / Ainsley","Mont-Royal",5,3,16,2,6,8,16.7,0
"Melville / de Maisonneuve","Westmount",10,3,68,15,10,25,9.7,0
"Alexandre-DeSève / Ontario","Ville-Marie",9,7,115,9,17,26,21.7,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",8,7,90,13,11,24,21.5,0
"Querbes / Laurier","Outremont",9,4,98,20,29,49,21.6,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",8,2,2,1,0,1,23.9,0
"Émile-Journault / de Châteaubriand","Ahuntsic-Cartierville",10,3,36,8,5,13,15.7,0
"St-Jacques / St-Laurent","Ville-Marie",5,3,44,2,15,17,16.7,0
"de St-Vallier / St-Zotique","Rosemont - La Petite-Patrie",7,1,78,14,24,38,26.2,0
"Tupper / du Fort","Ville-Marie",6,2,84,10,18,28,26.7,0
"Chambord / Beaubien","Rosemont - La Petite-Patrie",6,4,112,14,24,38,27.2,0
"St-Dominique / Bernard","Le Plateau-Mont-Royal",9,3,71,11,22,33,14.5,1
"Travaux publics LaSalle (Cordner / Léger)","LaSalle",7,3,16,2,5,7,22.9,1
"Aylmer / Ste-Catherine","Ville-Marie",9,2,92,7,44,51,15.7,0
"St-Laurent / Joliette","Longueuil",9,1,14,3,4,7,15.7,0
"St-Laurent / Joliette","Longueuil",8,4,16,2,4,6,23.6,0
"Aylmer / Ste-Catherine","Ville-Marie",7,7,25,1,7,8,19.5,0
"Centre des loisirs (Tassé / Grenet)","Saint-Laurent",7,6,13,1,4,5,22.7,0
"Émile-Journault / de Châteaubriand","Ahuntsic-Cartierville",9,3,42,8,13,21,14.5,1
"St-Dominique / Rachel","Le Plateau-Mont-Royal",9,5,239,47,62,109,20.4,0
"Brébeuf / Curé-Poirier","Longueuil",10,4,4,1,1,2,7.5,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",5,2,71,19,19,38,14.5,0
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",7,1,15,0,3,3,20.9,0
"Robert-Bourassa / René-Lévesque","Ville-Marie",6,5,75,5,30,35,21.5,0
"Robert-Bourassa / René-Lévesque","Ville-Marie",7,1,93,5,35,40,20.4,0
"Tupper / du Fort","Ville-Marie",8,5,96,12,18,30,19.2,0
"Mackay / Ste-Catherine","Ville-Marie",8,5,113,8,24,32,19.7,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",5,7,99,9,18,27,20.4,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",8,4,3,3,0,3,26.8,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",9,1,72,16,24,40,17.8,0
"Travaux publics LaSalle (Cordner / Léger)","LaSalle",5,5,19,1,5,6,20.3,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",5,6,1,0,0,0,14.3,0
"de Chenonceau / Chomedey","Laval",9,4,1,1,0,1,20.1,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",5,5,18,3,4,7,12.4,0
"Brébeuf / Curé-Poirier","Longueuil",10,3,7,2,0,2,15.7,0
"Métro Jean-Talon (Berri / Jean-Talon)","Villeray—Saint-Michel—Parc-Extension",7,3,114,13,28,41,23.3,0
"27e avenue / Rosemont","Rosemont - La Petite-Patrie",5,4,26,8,3,11,11.1,0
"Wilderton  / Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",9,3,106,23,42,65,18.1,0
"Parc Courbertin (Valéry / Perrier)","Saint-Léonard",10,2,1,1,0,1,7,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",9,1,239,21,82,103,17.8,0
"St-Patrick / Briand","Le Sud-Ouest",10,6,22,1,7,8,9.9,0
"Gare du Ruisseau (Dutrisac / Henri-Bourassa)","Saint-Laurent",8,2,5,0,2,2,15.5,0
"de l'Esplanade / du Mont-Royal","Le Plateau-Mont-Royal",5,5,156,18,41,59,20.3,0
"Jean-Talon / de l'Épée","Villeray—Saint-Michel—Parc-Extension",5,7,41,2,8,10,18.3,0
"Le Corbusier / St-Martin O","Laval",9,3,3,0,1,1,19.8,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",8,3,102,24,18,42,24,0
"Mayfield / St-Martin O","Laval",5,4,3,0,2,2,18.9,0
"Jean-Paul-Vincent / Adoncour","Longueuil",8,3,1,1,0,1,18.1,0
"Laval / du Mont-Royal","Le Plateau-Mont-Royal",8,5,29,2,3,5,20.1,1
"St-Dominique / Rachel","Le Plateau-Mont-Royal",9,1,215,51,64,115,15.7,0
"Union / Ste-Catherine","Ville-Marie",7,7,127,1,23,24,23.5,0
"Centre des loisirs (Tassé / Grenet)","Saint-Laurent",7,3,5,1,1,2,25.3,0
"Laval / du Mont-Royal","Le Plateau-Mont-Royal",8,1,88,8,29,37,18.8,0
"de Bullion / St-Joseph","Le Plateau-Mont-Royal",10,5,52,12,13,25,12.3,0
"Mairie d'arrondissement LaSalle (Dupras / Jeannette)","LaSalle",5,2,3,0,1,1,17.3,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",7,7,10,0,2,2,25,0
"de Grenoble / de Cassis","Laval",10,4,4,0,1,1,21.4,0
"Boyer / Beaubien","Rosemont - La Petite-Patrie",5,7,95,3,8,11,12.1,1
"de Hampton / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",8,1,46,10,7,17,21.8,0
"de Grenoble / de Cassis","Laval",6,3,5,0,1,1,24.7,0
"Dollard / Bernard","Outremont",9,2,59,11,19,30,17.9,0
"Aylmer / Prince-Arthur","Le Plateau-Mont-Royal",8,3,175,18,53,71,18.1,0
"Métro Crémazie (Crémazie / Lajeunesse)","Ahuntsic-Cartierville",8,7,63,5,15,20,23.5,0
"Brittany / Ainsley","Mont-Royal",6,7,27,0,11,11,15.8,0
"St-Dominique / du Mont-Royal","Le Plateau-Mont-Royal",7,7,123,5,33,38,19.5,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",6,7,5,0,1,1,15.8,0
"29e avenue / St-Zotique","Rosemont - La Petite-Patrie",8,6,36,3,6,9,21.4,0
"Travaux publics LaSalle (Cordner / Léger)","LaSalle",8,4,20,1,11,12,23.6,0
"Métro Crémazie (Crémazie / Lajeunesse)","Ahuntsic-Cartierville",10,1,82,19,25,44,17.3,0
"de Chenonceau / Chomedey","Laval",9,7,3,1,0,1,19,0
"de Chenonceau / Chomedey","Laval",5,2,3,0,1,1,17.3,0
"de St-Vallier / St-Zotique","Rosemont - La Petite-Patrie",8,3,79,12,24,36,18.1,0
"St-Dominique / Bernard","Le Plateau-Mont-Royal",7,6,58,0,7,7,23.1,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",6,1,107,13,19,32,23.7,0
"Parc de la Louisiane (31e avenue / de Bellechasse)","Rosemont - La Petite-Patrie",7,6,32,6,9,15,23.1,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",10,2,4,2,0,2,7,0
"de l'Esplanade / du Mont-Royal","Le Plateau-Mont-Royal",5,6,177,9,60,69,14.5,0
"Hamel / Sauriol","Ahuntsic-Cartierville",10,3,13,7,3,10,16.4,0
"Métro Jarry (Lajeunesse / Jarry)","Villeray—Saint-Michel—Parc-Extension",9,7,152,8,46,54,16.9,0
"Saint-Rémi / Valois","Laval",6,6,4,0,1,1,14.8,0
"5e avenue / Rosemont","Rosemont - La Petite-Patrie",9,4,41,11,12,23,20.1,0
"Saint-Rémi / Valois","Laval",6,2,5,0,2,2,23.3,0
"Gare du Ruisseau (Dutrisac / Henri-Bourassa)","Saint-Laurent",6,7,3,0,0,0,16.3,0
"Aylmer / Prince-Arthur","Le Plateau-Mont-Royal",6,6,170,15,35,50,14.8,0
"Parc du Bois-Franc (de l'Équateur / des Andes)","Saint-Laurent",6,7,3,0,1,1,21.8,1
"Collège de Rosemont (Beaubien / 15e avenue)","Rosemont - La Petite-Patrie",10,5,33,4,4,8,5.7,0
"Mackay / René-Lévesque","Ville-Marie",9,5,115,22,31,53,20.1,0
"Mackay / René-Lévesque","Ville-Marie",10,7,83,4,16,20,14,0
"Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain)","Rosemont - La Petite-Patrie",6,7,17,1,4,5,15.8,0
"Jean-Paul-Vincent / Adoncour","Longueuil",7,2,4,1,1,2,25.9,0
"Gilford / Papineau","Le Plateau-Mont-Royal",9,2,120,30,33,63,15.7,0
"Parc du Pélican (2e avenue / St-Joseph)","Rosemont - La Petite-Patrie",6,7,56,4,10,14,20.5,0
"Graham / Brookfield","Mont-Royal",8,2,46,10,9,19,22,0
"Desaulniers / Marquette","Longueuil",8,1,6,3,2,5,18.8,0
"Hamel / Sauriol","Ahuntsic-Cartierville",7,5,22,5,4,9,23.2,0
"Parc de la Confédération (Fielding / West Hill)","Côte-des-Neiges - Notre-Dame-de-Grâce",10,6,21,5,8,13,12.5,0
