"station","arrondissement","mm","jj","n_tot","n_AM","n_PM","n_rush","temp","precip_ind"
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,6,19,0,3,3,20,0
"Saint-Rémi / Valois","Laval",8,5,1,0,1,1,24.5,0
"27e avenue / Rosemont","Rosemont - La Petite-Patrie",8,5,39,3,12,15,27.4,0
"St-Patrick / Briand","Le Sud-Ouest",8,2,58,7,27,34,15.5,0
"Bélanger / des Galeries d'Anjou","Anjou",6,6,25,0,16,16,21,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",7,2,130,22,33,55,21.8,0
"St-Laurent / Joliette","Longueuil",6,3,17,2,6,8,28.7,0
"de St-Vallier / St-Zotique","Rosemont - La Petite-Patrie",5,5,102,8,20,28,14.4,0
"Graham / Brookfield","Mont-Royal",8,6,34,2,9,11,22.4,0
"Boyer / Beaubien","Rosemont - La Petite-Patrie",7,2,193,35,35,70,24.8,0
"Hamel / Sauriol","Ahuntsic-Cartierville",7,7,11,0,0,0,19.5,0
"Desaulniers / Marquette","Longueuil",10,2,13,3,6,9,17,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",10,2,24,2,13,15,9.4,0
"de l'Esplanade / du Mont-Royal","Le Plateau-Mont-Royal",10,4,118,28,31,59,21.4,0
"Cartier / Dandurand","Rosemont - La Petite-Patrie",9,1,88,26,26,52,15.7,0
"Robert-Bourassa / René-Lévesque","Ville-Marie",10,3,59,3,35,38,9.7,0
"Earnscliffe / Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",8,7,49,5,4,9,24.7,0
"Bélanger / des Galeries d'Anjou","Anjou",5,3,14,1,3,4,11.7,0
"Boyer / Jean-Talon","Villeray—Saint-Michel—Parc-Extension",9,4,80,18,21,39,20.7,0
"de Grenoble / de Cassis","Laval",5,4,3,0,2,2,18.9,0
"Brittany / Ainsley","Mont-Royal",5,2,24,2,9,11,14.5,0
"Melville / de Maisonneuve","Westmount",9,7,91,5,26,31,18.1,0
"Gilford / Papineau","Le Plateau-Mont-Royal",7,1,10,0,0,0,24.3,0
"Bélanger / des Galeries d'Anjou","Anjou",5,4,21,1,9,10,18.9,0
"de Chenonceau / Chomedey","Laval",10,5,2,0,2,2,12.3,0
"Alexandre-DeSève / Ontario","Ville-Marie",9,6,115,10,10,20,15.9,1
"Collège de Rosemont (Beaubien / 15e avenue)","Rosemont - La Petite-Patrie",5,3,44,10,9,19,10.2,0
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",5,6,29,3,8,11,20.5,0
"St-Patrick / Briand","Le Sud-Ouest",9,3,31,10,11,21,14.5,1
"Métro Jarry (Lajeunesse / Jarry)","Villeray—Saint-Michel—Parc-Extension",9,5,202,28,58,86,16.6,0
"de Bullion / St-Joseph","Le Plateau-Mont-Royal",8,4,82,16,21,37,16.8,0
"Alexandre-DeSève / Ontario","Ville-Marie",9,1,126,36,28,64,15.3,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",8,3,143,18,31,49,24,0
"Melville / de Maisonneuve","Westmount",6,5,65,10,7,17,18.9,0
"Collège de Rosemont (Beaubien / 15e avenue)","Rosemont - La Petite-Patrie",10,6,38,2,7,9,12.5,0
"Parc du Bois-Franc (de l'Équateur / des Andes)","Saint-Laurent",10,5,7,0,4,4,10.3,0
"Crescent / de Maisonneuve","Ville-Marie",7,1,134,2,29,31,20.9,0
"Hutchison / Van Horne","Le Plateau-Mont-Royal",10,4,64,14,13,27,7.5,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",10,3,40,17,13,30,9.7,0
"Centre des loisirs (Tassé / Grenet)","Saint-Laurent",10,6,5,1,0,1,13.9,0
"Souligny / Desmarteau","Mercier - Hochelaga-Maisonneuve",8,1,11,3,2,5,17.4,1
"Métro Jarry (Lajeunesse / Jarry)","Villeray—Saint-Michel—Parc-Extension",8,5,192,27,48,75,24.5,0
"Souligny / Desmarteau","Mercier - Hochelaga-Maisonneuve",9,3,19,3,7,10,19.8,0
"Jean-Talon / de l'Épée","Villeray—Saint-Michel—Parc-Extension",7,3,29,5,7,12,24.8,0
"Parc du Bois-Franc (de l'Équateur / des Andes)","Saint-Laurent",10,5,5,2,1,3,12.3,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",10,5,128,27,24,51,10.3,0
"Louis-Hébert / Bélanger","Villeray—Saint-Michel—Parc-Extension",5,2,30,3,7,10,17.7,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",6,6,38,4,1,5,19.5,0
"St-Jacques / St-Laurent","Ville-Marie",7,4,38,0,15,15,20.2,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",8,1,198,21,35,56,18.4,0
"Parc du Pélican (2e avenue / St-Joseph)","Rosemont - La Petite-Patrie",9,3,74,20,24,44,21.7,0
"Querbes / Laurier","Outremont",6,3,85,16,15,31,28.7,0
"Parc Chenier (de l'Aréna / Chenier)","Anjou",8,3,13,5,0,5,19.2,0
"St-Laurent / Joliette","Longueuil",8,1,11,3,2,5,18.4,0
"Earnscliffe / Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",5,5,39,5,15,20,12.4,0
"Union / Ste-Catherine","Ville-Marie",10,1,80,2,51,53,1.2,0
"Bélanger / des Galeries d'Anjou","Anjou",9,4,28,1,15,16,21.6,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,7,10,0,5,5,24.7,0
"Earnscliffe / Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",5,5,39,6,13,19,14.2,0
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",9,2,29,9,9,18,17.9,0
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",9,1,34,6,13,19,17.8,0
"Le Corbusier / St-Martin O","Laval",7,1,10,0,4,4,24.3,0
"Parc du Bois-Franc (de l'Équateur / des Andes)","Saint-Laurent",9,4,13,4,5,9,20.7,0
"de Bullion / St-Joseph","Le Plateau-Mont-Royal",7,1,54,2,12,14,20.9,0
"Crescent / de Maisonneuve","Ville-Marie",5,7,129,1,35,36,18.3,0
"Parc de la Louisiane (31e avenue / de Bellechasse)","Rosemont - La Petite-Patrie",6,6,22,5,0,5,18.5,0
"Le Corbusier / St-Martin O","Laval",10,1,1,0,1,1,12,0
"des Érables / Dandurand","Rosemont - La Petite-Patrie",9,3,60,19,12,31,18.1,0
"Parc Aimé-Léonard (Gouin / Ste-Gertrude)","Montréal-Nord",10,4,4,1,2,3,14.8,0
"St-Patrick / Briand","Le Sud-Ouest",9,6,58,3,16,19,19.5,0
"Louis-Hébert / Bélanger","Villeray—Saint-Michel—Parc-Extension",5,6,28,4,4,8,14.5,0
"Métro Jarry (Lajeunesse / Jarry)","Villeray—Saint-Michel—Parc-Extension",5,3,151,28,45,73,23.8,0
"Wilderton  / Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",10,7,50,5,11,16,7.5,0
"Atwater / Sherbrooke","Ville-Marie",6,3,57,7,16,23,28.7,0
"Centre des loisirs (Tassé / Grenet)","Saint-Laurent",5,1,6,1,5,6,16.4,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",6,6,173,8,28,36,14.8,0
"Dollard / Bernard","Outremont",8,5,44,8,7,15,19.7,0
"Métro Snowdon (Circle / Queen-Mary)","Côte-des-Neiges - Notre-Dame-de-Grâce",5,4,35,3,10,13,11.1,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",10,3,4,1,0,1,16.4,0
"Le Corbusier / St-Martin O","Laval",8,7,1,0,0,0,20.4,0
"Parc Aimé-Léonard (Gouin / Ste-Gertrude)","Montréal-Nord",7,3,4,1,0,1,25.3,0
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",6,3,31,7,11,18,24.7,0
"Brittany / Ainsley","Mont-Royal",8,6,20,1,7,8,24.3,0
"Saint-Rémi / Valois","Laval",8,5,2,0,1,1,27.4,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",7,5,15,2,5,7,21.7,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",5,4,4,4,0,4,18.9,0
"Bélanger / des Galeries d'Anjou","Anjou",9,6,14,0,4,4,21.5,0
"Waverly / St-Viateur","Le Plateau-Mont-Royal",7,4,89,15,27,42,20.2,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",8,5,93,12,19,31,24.5,0
"Atwater / Sherbrooke","Ville-Marie",6,6,72,3,14,17,14.8,0
